"id","nama","alamat","desa","kecamatan"
"229","DESA KALITIDU KEC. KALITIDU","DESA KALITIDU KEC KALITIDU","KALITIDU","KEC. KALITIDU"
"230","DESA PANJUNAN KEC. KALITIDU","DESA PANJUNAN KEC KALITIDU","PANJUNAN","KEC. KALITIDU"
"231","DESA MAYANGGENENG KEC. KALITIDU","DESA MAYANGGENENG KEC KALITIDU","MAYANGGENENG","KEC. KALITIDU"
"232","DESA MAYANGREJO KEC. KALITIDU","DESA MAYANGREJO KEC KALITIDU","MAYANGREJO","KEC. KALITIDU"
"233","DESA PILANGSARI KEC. KALITIDU","DESA PILANGSARI KEC KALITIDU","PILANGSARI","KEC. KALITIDU"
"234","DESA MOJOSARI KEC. KALITIDU","DESA MOJOSARI KEC KALITIDU","MOJOSARI","KEC. KALITIDU"
"235","DESA PUNGPUNGAN KEC. KALITIDU","DESA PUNGPUNGAN KEC KALITIDU","PUNGPUNGAN","KEC. KALITIDU"
"236","DESA NGUJO KEC. KALITIDU","DESA NGUJO KEC KALITIDU","NGUJO","KEC. KALITIDU"
"237","DESA LERAN KEC. KALITIDU","DESA LERAN KEC KALITIDU","LERAN","KEC. KALITIDU"
"238","DESA SUKOHARJO KEC. KALITIDU","DESA SUKOHARJO KEC KALITIDU","SUKOHARJO","KEC. KALITIDU"
"239","DESA NGRINGINREJO KEC. KALITIDU","DESA NGRINGINREJO KEC KALITIDU","NGRINGINREJO","KEC. KALITIDU"
"240","DESA MOJO KEC. KALITIDU","DESA MOJO KEC KALITIDU","MOJO","KEC. KALITIDU"
"241","DESA Beged KEC. KALITIDU","DESA Beged KEC KALITIDU","Beged","KEC. KALITIDU"
"242","DESA Ngraho KEC. KALITIDU","DESA Ngraho KEC KALITIDU","Ngraho","KEC. KALITIDU"
"243","DESA Sudu KEC. KALITIDU","DESA Sudu KEC KALITIDU","Sudu","KEC. KALITIDU"
"244","DESA Manukan KEC. KALITIDU","DESA Manukan KEC KALITIDU","Manukan","KEC. KALITIDU"
"245","DESA Cengungklung KEC. KALITIDU","DESA Cengungklung KEC KALITIDU","Cengungklung","KEC. KALITIDU"
"246","DESA Katur KEC. KALITIDU","DESA Katur KEC KALITIDU","Katur","KEC. KALITIDU"
"247","DESA BATOKAN KEC. KASIMAN","DESA BATOKAN KEC KASIMAN","BATOKAN","KEC. KASIMAN"
"248","DESA BETET KEC. KASIMAN","DESA BETET KEC KASIMAN","BETET","KEC. KASIMAN"
"249","DESA TEMBELING KEC. KASIMAN","DESA TEMBELING KEC KASIMAN","TEMBELING","KEC. KASIMAN"
"250","DESA SIDOMUKTI KEC. KASIMAN","DESA SIDOMUKTI KEC KASIMAN","SIDOMUKTI","KEC. KASIMAN"
"251","DESA BESAH KEC. KASIMAN","DESA BESAH KEC KASIMAN","BESAH","KEC. KASIMAN"
"252","DESA SAMBENG KEC. KASIMAN","DESA SAMBENG KEC KASIMAN","SAMBENG","KEC. KASIMAN"
"253","DESA NGAGLIK KEC. KASIMAN","DESA NGAGLIK KEC KASIMAN","NGAGLIK","KEC. KASIMAN"
"254","DESA KASIMAN KEC. KASIMAN","DESA KASIMAN KEC KASIMAN","KASIMAN","KEC. KASIMAN"
"255","DESA SEKARAN KEC. KASIMAN","DESA SEKARAN KEC KASIMAN","SEKARAN","KEC. KASIMAN"
"256","DESA TAMBAKMERAK KEC. KASIMAN","DESA TAMBAKMERAK KEC KASIMAN","TAMBAKMERAK","KEC. KASIMAN"
"257","DESA KAWENGAN KEC. KEDEWAN","DESA KAWENGAN KEC KEDEWAN","KAWENGAN","KEC. KEDEWAN"
"258","DESA WONOCOLO KEC. KEDEWAN","DESA WONOCOLO KEC KEDEWAN","WONOCOLO","KEC. KEDEWAN"
"259","DESA HARGOMULYO KEC. KEDEWAN","DESA HARGOMULYO KEC KEDEWAN","HARGOMULYO","KEC. KEDEWAN"
"260","DESA KEDEWAN KEC. KEDEWAN","DESA KEDEWAN KEC KEDEWAN","KEDEWAN","KEC. KEDEWAN"
"261","DESA BEJI KEC. KEDEWAN","DESA BEJI KEC KEDEWAN","BEJI","KEC. KEDEWAN"
"262","DESA BABAT KEC. KEDUNGADEM","DESA BABAT KEC KEDUNGADEM","BABAT","KEC. KEDUNGADEM"
"263","DESA PEJOK KEC. KEDUNGADEM","DESA PEJOK KEC KEDUNGADEM","PEJOK","KEC. KEDUNGADEM"
"264","DESA DAYUKIDUL KEC. KEDUNGADEM","DESA DAYUKIDUL KEC KEDUNGADEM","DAYUKIDUL","KEC. KEDUNGADEM"
"265","DESA PANJANG KEC. KEDUNGADEM","DESA PANJANG KEC KEDUNGADEM","PANJANG","KEC. KEDUNGADEM"
"266","DESA TONDOMULO KEC. KEDUNGADEM","DESA TONDOMULO KEC KEDUNGADEM","TONDOMULO","KEC. KEDUNGADEM"
"267","DESA KESONGO KEC. KEDUNGADEM","DESA KESONGO KEC KEDUNGADEM","KESONGO","KEC. KEDUNGADEM"
"268","DESA KENDUNG KEC. KEDUNGADEM","DESA KENDUNG KEC KEDUNGADEM","KENDUNG","KEC. KEDUNGADEM"
"269","DESA MLIDEG KEC. KEDUNGADEM","DESA MLIDEG KEC KEDUNGADEM","MLIDEG","KEC. KEDUNGADEM"
"270","DESA TUMBRASANOM KEC. KEDUNGADEM","DESA TUMBRASANOM KEC KEDUNGADEM","TUMBRASANOM","KEC. KEDUNGADEM"
"271","DESA KEDUNGADEM KEC. KEDUNGADEM","DESA KEDUNGADEM KEC KEDUNGADEM","KEDUNGADEM","KEC. KEDUNGADEM"
"272","DESA DUWEL KEC. KEDUNGADEM","DESA DUWEL KEC KEDUNGADEM","DUWEL","KEC. KEDUNGADEM"
"273","DESA KEPOHKIDUL KEC. KEDUNGADEM","DESA KEPOHKIDUL KEC KEDUNGADEM","KEPOHKIDUL","KEC. KEDUNGADEM"
"274","DESA GEGER KEC. KEDUNGADEM","DESA GEGER KEC KEDUNGADEM","GEGER","KEC. KEDUNGADEM"
"275","DESA KEDUNGREJO KEC. KEDUNGADEM","DESA KEDUNGREJO KEC KEDUNGADEM","KEDUNGREJO","KEC. KEDUNGADEM"
"276","DESA MEGALE KEC. KEDUNGADEM","DESA MEGALE KEC KEDUNGADEM","MEGALE","KEC. KEDUNGADEM"
"277","DESA SIDOREJO KEC. KEDUNGADEM","DESA SIDOREJO KEC KEDUNGADEM","SIDOREJO","KEC. KEDUNGADEM"
"278","DESA DROKILO KEC. KEDUNGADEM","DESA DROKILO KEC KEDUNGADEM","DROKILO","KEC. KEDUNGADEM"
"279","DESA MOJOREJO KEC. KEDUNGADEM","DESA MOJOREJO KEC KEDUNGADEM","MOJOREJO","KEC. KEDUNGADEM"
"280","DESA JAMBEREJO KEC. KEDUNGADEM","DESA JAMBEREJO KEC KEDUNGADEM","JAMBEREJO","KEC. KEDUNGADEM"
"281","DESA SIDOMULYO KEC. KEDUNGADEM","DESA SIDOMULYO KEC KEDUNGADEM","SIDOMULYO","KEC. KEDUNGADEM"
"282","DESA TLOGOAGUNG KEC. KEDUNGADEM","DESA TLOGOAGUNG KEC KEDUNGADEM","TLOGOAGUNG","KEC. KEDUNGADEM"
"283","DESA NGRANDU KEC. KEDUNGADEM","DESA NGRANDU KEC KEDUNGADEM","NGRANDU","KEC. KEDUNGADEM"
"284","DESA BALONGCABE KEC. KEDUNGADEM","DESA BALONGCABE KEC KEDUNGADEM","BALONGCABE","KEC. KEDUNGADEM"
"285","DESA PEJOK KEC. KEPOHBARU","DESA PEJOK KEC KEPOHBARU","PEJOK","KEC. KEPOHBARU"
"286","DESA CENGKIR KEC. KEPOHBARU","DESA CENGKIR KEC KEPOHBARU","CENGKIR","KEC. KEPOHBARU"
"287","DESA KEPOH KEC. KEPOHBARU","DESA KEPOH KEC KEPOHBARU","KEPOH","KEC. KEPOHBARU"
"288","DESA SIDOMUKTI KEC. KEPOHBARU","DESA SIDOMUKTI KEC KEPOHBARU","SIDOMUKTI","KEC. KEPOHBARU"
"289","DESA SIMOREJO KEC. KEPOHBARU","DESA SIMOREJO KEC KEPOHBARU","SIMOREJO","KEC. KEPOHBARU"
"290","DESA BRANGKAL KEC. KEPOHBARU","DESA BRANGKAL KEC KEPOHBARU","BRANGKAL","KEC. KEPOHBARU"
"291","DESA BALONGDOWO KEC. KEPOHBARU","DESA BALONGDOWO KEC KEPOHBARU","BALONGDOWO","KEC. KEPOHBARU"
"292","DESA MOJOSARI KEC. KEPOHBARU","DESA MOJOSARI KEC KEPOHBARU","MOJOSARI","KEC. KEPOHBARU"
"293","DESA NGLUMBER KEC. KEPOHBARU","DESA NGLUMBER KEC KEPOHBARU","NGLUMBER","KEC. KEPOHBARU"
"294","DESA KRANGKONG KEC. KEPOHBARU","DESA KRANGKONG KEC KEPOHBARU","KRANGKONG","KEC. KEPOHBARU"
"295","DESA JIPO KEC. KEPOHBARU","DESA JIPO KEC KEPOHBARU","JIPO","KEC. KEPOHBARU"
"296","DESA BUMIREJO KEC. KEPOHBARU","DESA BUMIREJO KEC KEPOHBARU","BUMIREJO","KEC. KEPOHBARU"
"297","DESA WORO KEC. KEPOHBARU","DESA WORO KEC KEPOHBARU","WORO","KEC. KEPOHBARU"
"298","DESA SUMBERAGUNG KEC. KEPOHBARU","DESA SUMBERAGUNG KEC KEPOHBARU","SUMBERAGUNG","KEC. KEPOHBARU"
"299","DESA TURIGEDE KEC. KEPOHBARU","DESA TURIGEDE KEC KEPOHBARU","TURIGEDE","KEC. KEPOHBARU"
"300","DESA SUMBEROTO KEC. KEPOHBARU","DESA SUMBEROTO KEC KEPOHBARU","SUMBEROTO","KEC. KEPOHBARU"
"301","DESA POHWATES KEC. KEPOHBARU","DESA POHWATES KEC KEPOHBARU","POHWATES","KEC. KEPOHBARU"
"302","DESA BAYEMGEDE KEC. KEPOHBARU","DESA BAYEMGEDE KEC KEPOHBARU","BAYEMGEDE","KEC. KEPOHBARU"
"303","DESA TLOGOREJO KEC. KEPOHBARU","DESA TLOGOREJO KEC KEPOHBARU","TLOGOREJO","KEC. KEPOHBARU"
"304","DESA SUMBERGEDE KEC. KEPOHBARU","DESA SUMBERGEDE KEC KEPOHBARU","SUMBERGEDE","KEC. KEPOHBARU"
"305","DESA BETET KEC. KEPOHBARU","DESA BETET KEC KEPOHBARU","BETET","KEC. KEPOHBARU"
"306","DESA MUNDUNG KEC. KEPOHBARU","DESA MUNDUNG KEC KEPOHBARU","MUNDUNG","KEC. KEPOHBARU"
"307","DESA NGRANGGONANYAR KEC. KEPOHBARU","DESA NGRANGGONANYAR KEC KEPOHBARU","NRANGGONANYAR","KEC. KEPOHBARU"
"308","DESA KARANGAN KEC. KEPOHBARU","DESA KARANGAN KEC KEPOHBARU","KARANGAN","KEC. KEPOHBARU"
"309","DESA SUGIHWARAS KEC. KEPOHBARU","DESA SUGIHWARAS KEC KEPOHBARU","SUGIHWARAS","KEC. KEPOHBARU"
"310","DESA DUKUHLOR KEC. MALO","DESA DUKUHLOR KEC MALO","DUKUHLOR","KEC. MALO"
"311","DESA KACANGAN KEC. MALO","DESA KACANGAN KEC MALO","KACANGAN","KEC. MALO"
"312","DESA KEMIRI KEC. MALO","DESA KEMIRI KEC MALO","KEMIRI","KEC. MALO"
"313","DESA PETAK KEC. MALO","DESA PETAK KEC MALO","PETAK","KEC. MALO"
"314","DESA KLITEH KEC. MALO","DESA KLITEH KEC MALO","KLITEH","KEC. MALO"
"315","DESA SUDAH KEC. MALO","DESA SUDAH KEC MALO","SUDAH","KEC. MALO"
"316","DESA NGUJUNG KEC. MALO","DESA NGUJUNG KEC MALO","NGUJUNG","KEC. MALO"
"317","DESA TAMBAKROMO KEC. MALO","DESA TAMBAKROMO KEC MALO","TAMBAKROMO","KEC. MALO"
"318","DESA SUMBEREJO KEC. MALO","DESA SUMBEREJO KEC MALO","SUMBEREJO","KEC. MALO"
"319","DESA TINAWUN KEC. MALO","DESA TINAWUN KEC MALO","TINAWUN","KEC. MALO"
"320","DESA BANARAN KEC. MALO","DESA BANARAN KEC MALO","BANARAN","KEC. MALO"
"321","DESA KEDUNGREJO KEC. MALO","DESA KEDUNGREJO KEC MALO","KEDUNGREJO","KEC. MALO"
"322","DESA KETILENG KEC. MALO","DESA KETILENG KEC MALO","KETILENG","KEC. MALO"
"323","DESA RENDENG KEC. MALO","DESA RENDENG KEC MALO","RENDENG","KEC. MALO"
"324","DESA MALO KEC. MALO","DESA MALO KEC MALO","MALO","KEC. MALO"
"325","DESA SUKOREJO KEC. MALO","DESA SUKOREJO KEC MALO","SUKOREJO","KEC. MALO"
"326","DESA TREMBES KEC. MALO","DESA TREMBES KEC MALO","TREMBES","KEC. MALO"
"327","DESA SEMLARAN KEC. MALO","DESA SEMLARAN KEC MALO","SEMLARAN","KEC. MALO"
"328","DESA TANGGIR KEC. MALO","DESA TANGGIR KEC MALO","TANGGIR","KEC. MALO"
"329","DESA TULUNGAGUNG KEC. MALO","DESA TULUNGAGUNG KEC MALO","TULUNGAGUNG","KEC. MALO"
"330","DESA MARGOMULYO KEC. MARGOMULYO","DESA MARGOMULYO KEC MARGOMULYO","MARGOMULYO","KEC. MARGOMULYO"
"331","DESA NGELO KEC. MARGOMULYO","DESA NGELO KEC MARGOMULYO","NGELO","KEC. MARGOMULYO"
"332","DESA KALANGAN KEC. MARGOMULYO","DESA KALANGAN KEC MARGOMULYO","KALANGAN","KEC. MARGOMULYO"
"333","DESA SUMBEREJO KEC. MARGOMULYO","DESA SUMBEREJO KEC MARGOMULYO","SUMBEREJO","KEC. MARGOMULYO"
"334","DESA MEDURI KEC. MARGOMULYO","DESA MEDURI KEC MARGOMULYO","MEDURI","KEC. MARGOMULYO"
"335","DESA GENENG KEC. MARGOMULYO","DESA GENENG KEC MARGOMULYO","GENENG","KEC. MARGOMULYO"
"336","DESA SETREN KEC. NGASEM","DESA SETREN KEC NGASEM","SETREN","KEC. NGASEM"
"337","DESA TRENGGULUN KEC. NGASEM","DESA TRENGGULUN KEC NGASEM","TRENGGULUN","KEC. NGASEM"
"338","DESA BUTOH KEC. NGASEM","DESA BUTOH KEC NGASEM","BUTOH","KEC. NGASEM"
"339","DESA KOLONG KEC. NGASEM","DESA KOLONG KEC NGASEM","KOLONG","KEC. NGASEM"
"340","DESA MEDIYUNAN KEC. NGASEM","DESA MADIUNAN KEC NGASEM","MEDIYUNAN","KEC. NGASEM"
"341","DESA NGADILUWIH KEC. NGASEM","DESA NGADILUWIH KEC NGASEM","NGADILUWIH","KEC. NGASEM"
"342","DESA SENDANGHARJO KEC. NGASEM","DESA SENDANGHARJO KEC NGASEM","SENDANGHARJO","KEC. NGASEM"
"343","DESA NGASEM KEC. NGASEM","DESA NGASEM KEC NGASEM","NGASEM","KEC. NGASEM"
"344","DESA BANDUNGREJO KEC. NGASEM","DESA BANDUNGREJO KEC NGASEM","BANDUNGREJO","KEC. NGASEM"
"345","DESA DUKOHKIDUL KEC. NGASEM","DESA DUKOHKIDUL KEC NGASEM","DUKOHKIDUL","KEC. NGASEM"
"346","DESA SAMBONG KEC. NGASEM","DESA SAMBONG KEC NGASEM","SAMBONG","KEC. NGASEM"
"347","DESA NGANTRU KEC. NGASEM","DESA NGANTRU KEC NGASEM","NGANTRU","KEC. NGASEM"
"348","DESA TENGGER KEC. NGASEM","DESA TENGGER KEC NGASEM","TENGGER","KEC. NGASEM"
"349","DESA WADANG KEC. NGASEM","DESA WADANG KEC NGASEM","WADANG","KEC. NGASEM"
"350","DESA JAMPET KEC. NGASEM","DESA JAMPET KEC NGASEM","JAMPET","KEC. NGASEM"
"351","DESA JELU KEC. NGASEM","DESA JELU KEC NGASEM","JELU","KEC. NGASEM"
"352","DESA BARENG KEC. NGASEM","DESA BARENG KEC NGASEM","BARENG","KEC. NGASEM"
"353","DESA SUGIHWARAS KEC. NGRAHO","DESA SUGIHWARAS KEC NGRAHO","SUGIHWARAS","KEC. NGRAHO"
"354","DESA LUWIHAJI KEC. NGRAHO","DESA LUWIHAJI KEC NGRAHO","LUWIHAJI","KEC. NGRAHO"
"355","DESA SUMBERAGUNG KEC. NGRAHO","DESA SUMBERAGUNG KEC NGRAHO","SUMBERAGUNG","KEC. NGRAHO"
"356","DESA NGRAHO KEC. NGRAHO","DESA NGRAHO KEC NGRAHO","NGRAHO","KEC. NGRAHO"
"357","DESA BLIMBINGGEDE KEC. NGRAHO","DESA BLIMBINGGEDE KEC NGRAHO","BLIMBINGGEDE","KEC. NGRAHO"
"358","DESA JUMOK KEC. NGRAHO","DESA JUMOK KEC NGRAHO","JUMOK","KEC. NGRAHO"
"359","DESA NGANTI KEC. NGRAHO","DESA NGANTI KEC NGRAHO","NGANTI","KEC. NGRAHO"
"360","DESA PANDAN KEC. NGRAHO","DESA PANDAN KEC NGRAHO","PANDAN","KEC. NGRAHO"
"361","DESA TANGGUNGAN KEC. NGRAHO","DESA TANGGUNGAN KEC NGRAHO","TANGGUNGAN","KEC. NGRAHO"
"362","DESA KALIREJO KEC. NGRAHO","DESA KALIREJO KEC NGRAHO","KALIREJO","KEC. NGRAHO"
"363","DESA MOJOREJO KEC. NGRAHO","DESA MOJOREJO KEC NGRAHO","MOJOREJO","KEC. NGRAHO"
"364","DESA TAPELAN KEC. NGRAHO","DESA TAPELAN KEC NGRAHO","TAPELAN","KEC. NGRAHO"
"365","DESA SUMBERARUM KEC. NGRAHO","DESA SUMBERARUM KEC NGRAHO","SUMBERARUM","KEC. NGRAHO"
"366","DESA PAYAMAN KEC. NGRAHO","DESA PAYAMAN KEC NGRAHO","PAYAMAN","KEC. NGRAHO"
"367","DESA BANCER KEC. NGRAHO","DESA BANCER KEC NGRAHO","BANCER","KEC. NGRAHO"
"368","DESA KLEMPUN KEC. NGRAHO","DESA KLEMPUN KEC NGRAHO","KLEMPUN","KEC. NGRAHO"
"369","DESA NGLAMPIN KEC. NGAMBON","DESA NGLAMPIN KEC NGAMBON","NGLAMPIN","KEC. NGAMBON"
"370","DESA KARANGMANGU KEC. NGAMBON","DESA KARANGMANGU KEC NGAMBON","KARANGMANGU","KEC. NGAMBON"
"371","DESA NGAMBON KEC. NGAMBON","DESA NGAMBON KEC NGAMBON","NGAMBON","KEC. NGAMBON"
"372","DESA SENGON KEC. NGAMBON","DESA SENGON KEC NGAMBON","SENGON","KEC. NGAMBON"
"373","DESA BONDOL KEC. NGAMBON","DESA BONDOL KEC NGAMBON","BONDOL","KEC. NGAMBON"
"374","DESA TEBON KEC. PADANGAN","DESA TEBON KEC PADANGAN","TEBON","KEC. PADANGAN"
"375","DESA PRANGI KEC. PADANGAN","DESA PRANGI KEC PADANGAN","PRANGI","KEC. PADANGAN"
"376","DESA PURWOREJO KEC. PADANGAN","DESA PURWOREJO KEC PADANGAN","PURWOREJO","KEC. PADANGAN"
"377","DESA NGEPER KEC. PADANGAN","DESA NGEPER KEC PADANGAN","NGEPER","KEC. PADANGAN"
"378","DESA SONOREJO KEC. PADANGAN","DESA SONOREJO KEC PADANGAN","SONOREJO","KEC. PADANGAN"
"379","DESA NGRADIN KEC. PADANGAN","DESA NGRADIN KEC PADANGAN","NGRADIN","KEC. PADANGAN"
"380","DESA KENDUNG KEC. PADANGAN","DESA KENDUNG KEC PADANGAN","KENDUNG","KEC. PADANGAN"
"381","DESA KEBONAGUNG KEC. PADANGAN","DESA KEBONAGUNG KEC PADANGAN","KEBONAGUNG","KEC. PADANGAN"
"382","DESA BANJAREJO KEC. PADANGAN","DESA BANJAREJO KEC PADANGAN","BANJAREJO","KEC. PADANGAN"
"383","DESA KUNCEN KEC. PADANGAN","DESA KUNCEN KEC PADANGAN","KUNCEN","KEC. PADANGAN"
"384","DESA NGASINAN KEC. PADANGAN","DESA NGASINAN KEC PADANGAN","NGASINAN","KEC. PADANGAN"
"385","DESA CENDONO KEC. PADANGAN","DESA CENDONO KEC PADANGAN","CENDONO","KEC. PADANGAN"
"386","DESA SIDOREJO KEC. PADANGAN","DESA SIDOREJO KEC PADANGAN","SIDOREJO","KEC. PADANGAN"
"387","DESA NGUKEN KEC. PADANGAN","DESA NGUKEN KEC PADANGAN","NGUKEN","KEC. PADANGAN"
"388","DESA PADANGAN KEC. PADANGAN","DESA PADANGAN KEC PADANGAN","PADANGAN","KEC. PADANGAN"
"389","DESA DENGOK KEC. PADANGAN","DESA DENGOK KEC PADANGAN","DENGOK","KEC. PADANGAN"
"390","DESA KALIOMBO KEC. PURWOSARI","DESA KALIOMBO KEC PURWOSARI","KALIOMBO","KEC. PURWOSARI"
"391","DESA PELEM KEC. PURWOSARI","DESA PELEM KEC PURWOSARI","PELEM","KEC. PURWOSARI"
"392","DESA NGREJENG KEC. PURWOSARI","DESA NGREJENG KEC PURWOSARI","NGREJENG","KEC. PURWOSARI"
"393","DESA TLATAH KEC. PURWOSARI","DESA TLATAH KEC PURWOSARI","TLATAH","KEC. PURWOSARI"
"394","DESA TINUMPUK KEC. PURWOSARI","DESA TINUMPUK KEC PURWOSARI","TINUMPUK","KEC. PURWOSARI"
"395","DESA KUNIRAN KEC. PURWOSARI","DESA KUNIRAN KEC PURWOSARI","KUNIRAN","KEC. PURWOSARI"
"396","DESA DONAN KEC. PURWOSARI","DESA DONAN KEC PURWOSARI","DONAN","KEC. PURWOSARI"
"397","DESA GAPLUK KEC. PURWOSARI","DESA GAPLUK KEC PURWOSARI","GAPLUK","KEC. PURWOSARI"
"398","DESA PUNGGUR KEC. PURWOSARI","DESA PUNGGUR KEC PURWOSARI","PUNGGUR","KEC. PURWOSARI"
"399","DESA SEDAHKIDUL KEC. PURWOSARI","DESA SEDAHKIDUL KEC PURWOSARI","SEDAHKIDUL","KEC. PURWOSARI"
"400","DESA POJOK KEC. PURWOSARI","DESA POJOK KEC PURWOSARI","POJOK","KEC. PURWOSARI"
"401","DESA PURWOSARI KEC. PURWOSARI","DESA PURWOSARI KEC PURWOSARI","PURWOSARI","KEC. PURWOSARI"
"402","DESA MIYONO KEC. SEKAR","DESA MIYONO KEC SEKAR","MIYONO","KEC. SEKAR"
"403","DESA SEKAR KEC. SEKAR","DESA SEKAR KEC SEKAR","SEKAR","KEC. SEKAR"
"404","DESA KLINO KEC. SEKAR","DESA KLINO KEC SEKAR","KLINO","KEC. SEKAR"
"405","DESA DELING KEC. SEKAR","DESA DELING KEC SEKAR","DELING","KEC. SEKAR"
"406","DESA BARENG KEC. SEKAR","DESA BARENG KEC SEKAR","BARENG","KEC. SEKAR"
"407","DESA BOBOL KEC. SEKAR","DESA BOBOL KEC SEKAR","BOBOL","KEC. SEKAR"
"408","DESA DRENGES KEC. SUGIHWARAS","DESA DRENGES KEC SUGIHWARAS","DRENGES","KEC. SUGIHWARAS"
"409","DESA BARENG KEC. SUGIHWARAS","DESA BARENG KEC SUGIHWARAS","BARENG","KEC. SUGIHWARAS"
"410","DESA ALASGUNG KEC. SUGIHWARAS","DESA ALASGUNG KEC SUGIHWARAS","ALASGUNG","KEC. SUGIHWARAS"
"411","DESA PANUNGGALAN KEC. SUGIHWARAS","DESA PANUNGGALAN KEC SUGIHWARAS","PANUNGGALAN","KEC. SUGIHWARAS"
"412","DESA WEDORO KEC. SUGIHWARAS","DESA WEDORO KEC SUGIHWARAS","WEDORO","KEC. SUGIHWARAS"
"413","DESA BULU KEC. SUGIHWARAS","DESA BULU KEC SUGIHWARAS","BULU","KEC. SUGIHWARAS"
"414","DESA SIWALAN KEC. SUGIHWARAS","DESA SIWALAN KEC SUGIHWARAS","SIWALAN","KEC. SUGIHWARAS"
"415","DESA TRATE KEC. SUGIHWARAS","DESA TRATE KEC SUGIHWARAS","TRATE","KEC. SUGIHWARAS"
"416","DESA NGLAJANG KEC. SUGIHWARAS","DESA NGLAJANG KEC SUGIHWARAS","NGLAJANG","KEC. SUGIHWARAS"
"417","DESA KEDUNGDOWO KEC. SUGIHWARAS","DESA KEDUNGDOWO KEC SUGIHWARAS","KEDUNGDOWO","KEC. SUGIHWARAS"
"418","DESA GLAGAHWANGI KEC. SUGIHWARAS","DESA GLAGAHWANGI KEC SUGIHWARAS","GLAGAHWANGI","KEC. SUGIHWARAS"
"419","DESA SUGIHWARAS KEC. SUGIHWARAS","DESA SUGIHWARAS KEC SUGIHWARAS","SUGIHWARAS","KEC. SUGIHWARAS"
"420","DESA GLAGAHAN KEC. SUGIHWARAS","DESA GLAGAHAN KEC SUGIHWARAS","GLAGAHAN","KEC. SUGIHWARAS"
"421","DESA PANEMON KEC. SUGIHWARAS","DESA PANEMON KEC SUGIHWARAS","PANEMON","KEC. SUGIHWARAS"
"422","DESA JATITENGAH KEC. SUGIHWARAS","DESA JATITENGAH KEC SUGIHWARAS","JATITENGAH","KEC. SUGIHWARAS"
"423","DESA BALONGREJO KEC. SUGIHWARAS","DESA BALONGREJO KEC SUGIHWARAS","BALONGREJO","KEC. SUGIHWARAS"
"424","DESA GENJOR KEC. SUGIHWARAS","DESA GENJOR KEC SUGIHWARAS","GENJOR","KEC. SUGIHWARAS"
"425","DESA SUKOSEWU KEC. SUKOSEWU","DESA SUKOSEWU KEC SUKOSEWU","SUKOSEWU","KEC. SUKOSEWU"
"426","DESA KLEPEK KEC. SUKOSEWU","DESA KLEPEK KEC SUKOSEWU","KLEPEK","KEC. SUKOSEWU"
"427","DESA KALICILIK KEC. SUKOSEWU","DESA KALICILIK KEC SUKOSEWU","KALICILIK","KEC. SUKOSEWU"
"428","DESA SEMAWOT KEC. SUKOSEWU","DESA SEMAWOT KEC SUKOSEWU","SEMAWOT","KEC. SUKOSEWU"
"429","DESA DUYUNGAN KEC. SUKOSEWU","DESA DUYUNGAN KEC SUKOSEWU","DUYUNGAN","KEC. SUKOSEWU"
"430","DESA JUMPUT KEC. SUKOSEWU","DESA JUMPUT KEC SUKOSEWU","JUMPUT","KEC. SUKOSEWU"
"431","DESA TEGALKODO KEC. SUKOSEWU","DESA TEGALKODO KEC SUKOSEWU","TEGALKODO","KEC. SUKOSEWU"
"432","DESA PURWOASRI KEC. SUKOSEWU","DESA PURWOASRI KEC SUKOSEWU","PURWOASRI","KEC. SUKOSEWU"
"433","DESA SITIAJI KEC. SUKOSEWU","DESA SITIAJI KEC SUKOSEWU","SITIAJI","KEC. SUKOSEWU"
"434","DESA PACING KEC. SUKOSEWU","DESA PACING KEC SUKOSEWU","PACING","KEC. SUKOSEWU"
"435","DESA SIDODADI KEC. SUKOSEWU","DESA SIDODADI KEC SUKOSEWU","SIDODADI","KEC. SUKOSEWU"
"436","DESA SEMENKIDUL KEC. SUKOSEWU","DESA SEMENKIDUL KEC SUKOSEWU","SEMENKIDUL","KEC. SUKOSEWU"
"437","DESA SIDOREJO KEC. SUKOSEWU","DESA SIDOREJO KEC SUKOSEWU","SIDOREJO","KEC. SUKOSEWU"
"438","DESA SUMBERREJOKIDUL KEC. SUKOSEWU","DESA SUMBERREJOKIDUL KEC SUKOSEWU","SUMBERREJOKIDUL","KEC. SUKOSEWU"
"439","DESA TLOGOHAJI KEC. SUMBERREJO","DESA TLOGOHAJI KEC SUMBERREJO","TLOGOHAJI","KEC. SUMBERREJO"
"440","DESA NGAMPAL KEC. SUMBERREJO","DESA NGAMPAL KEC SUMBERREJO","NGAMPAL","KEC. SUMBERREJO"
"441","DESA KEDUNGREJO KEC. SUMBERREJO","DESA KEDUNGREJO KEC SUMBERREJO","KEDUNGREJO","KEC. SUMBERREJO"
"442","DESA MLINJENG KEC. SUMBERREJO","DESA MLINJENG KEC SUMBERREJO","MLINJENG","KEC. SUMBERREJO"
"443","DESA SUMBERHARJO KEC. SUMBERREJO","DESA SUMBERHARJO KEC SUMBERREJO","SUMBERHARJO","KEC. SUMBERREJO"
"444","DESA BANJAREJO KEC. SUMBERREJO","DESA BANJAREJO KEC SUMBERREJO","BANJAREJO","KEC. SUMBERREJO"
